"id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"external_gene_name"
"1"	"WBGene00000012"	20.6085492869313	-2.47734919512383	0.596273162678801	-4.15472194655577	3.25683349617305e-05	0.000133045113035154	"abf-1"
"2"	"WBGene00000013"	342.781442552588	5.51619909863267	0.422177457531113	13.0660673615577	5.14577740432068e-39	6.95767085654627e-37	"abf-2"
"3"	"WBGene00000019"	267.810148588175	-2.39857927372997	0.488064633842591	-4.91447055863414	8.90227012146928e-07	4.73734995377523e-06	"abt-1"
"4"	"WBGene00000021"	28.1588293260489	-3.2760139833286	0.749983558315697	-4.3681144033155	1.25323844819039e-05	5.54281528724385e-05	"abt-3"
"5"	"WBGene00000023"	242.66836774224	-2.86438570401329	0.559477085168455	-5.11975517844639	3.05932553111014e-07	1.76129086048919e-06	"abt-5"
"6"	"WBGene00000031"	38.7295028250727	-3.22345078889906	0.883366788158634	-3.64905137040334	0.000263210471685231	0.000909418941219441	"abu-8"
"7"	"WBGene00000033"	28.8717117160709	-4.13857109213427	0.955581827848615	-4.33094369474543	1.4847164739721e-05	6.46260627981506e-05	"abu-10"
"8"	"WBGene00000034"	45.3442621374358	-2.5528406072078	0.754070265120464	-3.38541476211104	0.000710707783072597	0.0022491494041526	"abu-11"
"9"	"WBGene00000063"	7832.51171658411	-2.74493139590886	0.263463407756205	-10.4186437854356	2.03839055299599e-25	9.56897276712054e-24	"act-1"
"10"	"WBGene00000065"	17340.9816847869	-2.05040830378133	0.201563560952592	-10.1725147843741	2.63028512469836e-24	1.10992251415843e-22	"act-3"
"11"	"WBGene00000066"	85432.7264246753	-2.8416800908315	0.259192535579001	-10.9635876838952	5.71864050412522e-28	3.43118430247513e-26	"act-4"
"12"	"WBGene00000082"	88.1029041184845	-2.60874621825756	0.460662054294235	-5.66303691380514	1.48717151248133e-08	1.04210558538838e-07	"adt-1"
"13"	"WBGene00000169"	1129.08266811238	-2.11199730877159	0.38144875595426	-5.53677859949512	3.08085600892063e-08	2.06106046589813e-07	"aqp-1"
"14"	"WBGene00000175"	5926.65775869179	-2.54505249590153	0.248509933715972	-10.2412505522227	1.29550882881728e-24	5.60220034083149e-23	"aqp-7"
"15"	"WBGene00000217"	23598.1134303617	2.52333945787946	0.213951187853878	11.7939960193295	4.19169703161818e-32	3.64165533968638e-30	"asp-4"
"16"	"WBGene00000251"	39.103087523493	-4.7875405374766	0.861430656398229	-5.55766213091838	2.73411979105745e-08	1.84841901367264e-07	"bli-1"
"17"	"WBGene00000252"	30.8725422341037	-3.99958973787434	0.87878852708762	-4.55125393037313	5.33271405629983e-06	2.50276484676013e-05	"bli-2"
"18"	"WBGene00000256"	608.948689107537	-6.13920902784784	0.608236471946253	-10.0934575794237	5.90520851068376e-24	2.47015257963242e-22	"bli-6"
