"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000004455" 326 11 0 0 0 0 326 7 3 0 0 0 326 14 0 0 0 0 "AK2"
"ENSG00000005022" 300 7 0 0 0 0 300 9 2 0 0 0 300 29 0 0 0 3 "SLC25A5"
"ENSG00000008018" 171 8 0 0 0 0 171 4 0 0 0 0 171 19 0 0 0 0 "PSMB1"
"ENSG00000008988" 869 22 0 0 0 0 869 15 2 2 0 0 869 173 6 0 0 0 "SNORD54"
"ENSG00000009307" 1000 18 0 0 0 0 1000 10 0 0 4 0 1000 27 0 2 0 0 "CSDE1"
"ENSG00000010256" 310 2 0 0 0 0 310 12 0 0 8 0 310 18 2 0 0 0 "UQCRC1"
"ENSG00000010292" 479 10 0 0 0 0 479 2 0 0 0 0 479 22 0 0 0 0 "NCAPD2"
"ENSG00000014641" 270 4 0 0 0 2 270 0 0 0 0 0 270 40 0 0 0 2 "MDH1"
"ENSG00000021826" 1142 30 0 6 0 0 1142 6 0 0 0 0 1142 26 0 0 0 0 "CPS1"
"ENSG00000026025" 806 59 8 22 7 0 806 22 0 8 0 0 806 98 2 2 0 2 "VIM"
"ENSG00000031698" 211 4 0 0 0 0 211 5 0 0 0 0 211 26 0 0 0 0 "SARS"
"ENSG00000034510" 1856 81 0 0 0 4 1856 45 3 2 0 0 1856 448 9 4 0 5 "TMSB10"
"ENSG00000041357" 290 13 0 0 0 0 290 5 2 0 0 0 290 24 0 0 0 0 "PSMA4"
"ENSG00000044115" 679 14 0 0 3 0 679 7 0 0 0 0 679 39 2 0 3 0 "CTNNA1"
"ENSG00000049656" 701 22 0 0 0 2 701 13 0 0 2 0 701 13 0 0 0 0 "CLPTM1L"
"ENSG00000054148" 167 4 0 0 0 0 167 7 0 0 0 0 167 20 0 0 0 0 "PHPT1"
"ENSG00000055044" 237 12 2 0 0 0 237 6 0 0 0 0 237 18 0 0 0 0 "NOP58"
"ENSG00000061676" 411 14 0 3 2 0 411 5 0 0 0 0 411 17 0 0 0 0 "NCKAP1"
"ENSG00000062716" 1336 20 0 0 0 0 1336 12 2 0 0 0 1336 17 0 0 0 0 "VMP1"
"ENSG00000063046" 660 20 0 0 0 0 660 9 0 0 2 0 660 28 0 0 0 0 "EIF4B"
"ENSG00000063177" 1148 47 0 0 2 4 1148 25 4 0 2 0 1148 190 5 0 0 4 "RPL18"
"ENSG00000064042" 526 11 0 0 0 2 526 6 0 0 0 0 526 20 0 0 0 0 "LIMCH1"
"ENSG00000065150" 604 13 0 0 0 0 604 5 0 0 0 0 604 26 0 0 0 0 "IPO5"
"ENSG00000065427" 302 8 0 0 0 0 302 8 0 2 0 0 302 17 0 0 0 0 "KARS"
"ENSG00000065518" 108 6 0 0 0 0 108 9 0 0 0 0 108 24 0 0 0 0 "NDUFB4"
"ENSG00000065978" 795 14 2 0 0 0 795 5 2 0 0 0 795 89 3 3 0 0 "YBX1"
"ENSG00000067225" 2910 42 0 0 0 4 2910 14 0 2 0 0 2910 121 4 0 0 0 "PKM"
"ENSG00000067560" 461 10 0 0 0 0 461 6 2 0 0 0 461 21 0 0 0 0 "RHOA"
"ENSG00000069275" 629 14 2 0 0 0 629 3 0 0 0 0 629 19 0 0 0 0 "NUCKS1"
"ENSG00000070756" 376 17 0 5 3 0 376 8 2 0 0 0 376 34 0 0 0 0 "PABPC1"
"ENSG00000071082" 1054 44 5 2 0 0 1054 54 5 5 0 2 1054 194 5 0 0 0 "RPL31"
"ENSG00000072274" 629 18 0 0 0 0 629 4 0 0 0 0 629 8 0 0 0 0 "TFRC"
"ENSG00000073712" 515 16 3 3 0 0 515 19 0 3 2 0 515 17 0 0 0 0 "FERMT2"
"ENSG00000074071" 244 9 0 0 0 2 244 5 0 0 2 0 244 16 0 0 0 0 "MRPS34"
