row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CG10007	646.927927636802	0.00682823298847956	0.0999419029115861	0.0683220229908987	0.945529293276919	0.96526906504626
CG10009	376.906324996103	0.0609341868696675	0.0782896938357398	0.778316836919991	0.436382252055021	0.559109010503665
CG10011	2371.87216512261	0.215733587310019	0.1191483271057	1.81063043477425	0.0701980777657495	0.133373421615793
CG10016	12.3991398716281	-1.66255694596905	0.381553194247541	-4.3573398703889	1.31652751484541e-05	8.54314430104017e-05
CG10026	35.8179555828045	-3.65101291560867	0.341388924988047	-10.6945851150166	1.07901461938936e-26	7.5663825156565e-24
CG10059	215.430973915766	0.169252706178514	0.105418341005668	1.60553376731108	0.108376388132311	0.189627476816536
CG10061	719.274172331435	0.314814456131616	0.0791552257387686	3.97717842623025	6.97378376373213e-05	0.000367686597976762
CG10064	10.3714232303728	1.50717976390598	0.388356884974471	3.88091423692682	NA	NA
CG10069	598.233868820788	-0.341568292627107	0.10627539006256	-3.21399236856284	0.00130903152382495	0.00467932157670998
CG10072	1503.75051860297	0.630820084192264	0.154282577505915	4.08873182176437	4.33737944636202e-05	0.000242195147242544
CG10078	12.2631021677949	-2.94397598884037	0.356021807746077	-8.26908892878854	1.34986556658941e-16	1.41441086264702e-14
CG10079	237.40278634626	-1.42898126327012	0.266107186200876	-5.3699461621883	7.876015129377e-08	9.38871703284971e-07
CG1007	4944.87849682386	0.597844421961843	0.133660008020897	4.47287435347432	7.71751287348939e-06	5.35817573151023e-05
CG10082	1889.29990013425	0.0670744127370409	0.162229194521946	0.413454637031853	0.679273551424066	0.766558268727629
CG10083	1222.07976573166	0.00534422760957923	0.084521053639143	0.0632295431667955	0.949583719795767	0.967412292094123
CG10084	1449.63500419557	0.0763560791877009	0.0545684051973034	1.39927269106765	0.161731225615928	0.259612934093115
CG10089	17.1677880960284	-0.376209329134671	0.28432801728138	-1.32315250790906	0.185784665975823	0.290749015456755
CG10091	441.636470486039	0.0229461196119907	0.22518002325476	0.101901222321264	0.918835079742852	0.945421548230006
CG10103	1630.69456301638	-0.237234861770085	0.0587953192357793	-4.0349276924364	5.4619115179403e-05	0.000296373722604427
CG10106	11187.5454731886	-0.522179275507882	0.140473156481299	-3.71728868766041	0.000201372294065789	0.00092470404607816
CG10107	1666.48454873989	0.175970043276503	0.0660786125779013	2.66304082987591	0.00774380173305435	0.0214893444744364
CG10108	12.2398126099781	0.403192340349202	0.34323910655098	1.17466900668941	0.240127163618408	0.354666108805153
CG10112	574.230120680661	-0.400758742170024	0.321983187342326	-1.24465735455916	0.213257728028117	0.323847650958573
CG10117	634.576939007629	0.335787616073464	0.0846209813969275	3.96813663148625	7.24368017754658e-05	0.000379284253294168
CG10118	81.3538243726534	-3.73634939807005	0.356292289287484	-10.4867534617211	9.93847782884134e-26	4.76837704672198e-23
CG10119	430.368892068798	-0.199337304084887	0.217962748931163	-0.914547577796615	0.360429189818726	0.484255341840458
CG10121	1436.54121843918	0.0920116318129038	0.207049360268574	0.444394668467223	0.656757267410397	0.747440605457325
CG10122	1863.30192076763	0.0856722661106627	0.0834378921418309	1.02677888800251	0.304524592719394	0.42505282642715
CG10126	1460.38527583903	-0.930818498035758	0.19705952047066	-4.72353985137371	2.31774515678188e-06	1.87144064209243e-05
CG10128	443.955935184869	0.199918645099761	0.0855705620636902	2.33630164718284	0.0194755257380641	0.0468134284813363
CG10129	8.52286650409256	-0.371252404613204	0.338116303525866	-1.09800208017713	0.272203580936372	0.390281195944632
CG10131	103.782054955999	-0.575745118678188	0.39733014819651	-1.44903456556596	0.147327929844736	0.242325049246892
CG10137	49.4343920773958	-0.15958156056259	0.135918674210597	-1.17409591794082	0.240356608344936	0.354889997031492
CG10139	549.889178358317	0.244680243907959	0.0848677876188679	2.88307555520113	0.00393812970211253	0.0120388968358343
CG10145	83.5299651238116	-0.28960545445577	0.320730021529692	-0.902957113507878	0.366548656661585	0.490374164080181
CG10173	178.083924323903	-3.35023225790793	0.39845849000993	-8.40798311970826	4.17121163708472e-17	5.06142770401181e-15
CG10175	4.55106890083873	-0.500582897261089	0.392581212453892	-1.27510660566794	0.202271511639086	0.310631250017168
CG10181	19.8981254196525	-1.43575584883162	0.308494795440393	-4.65406830213132	3.25448917225775e-06	2.5015112389799e-05
CG10192	2141.43989442724	0.0990848134476321	0.0905382052494843	1.09439780890948	0.273780544499776	0.391925792032028
CG10203	1349.15051703486	0.495457328053993	0.0770324744383367	6.43179816910334	1.26103116685374e-10	3.31607259765394e-09
CG10207	22.9437858820638	0.0919878588994487	0.231298537942264	0.397701860624862	0.690849965746388	0.776354571960561
CG10209	433.612078410997	0.0182239107190608	0.067599461740915	0.269586624652525	0.7874782914654	0.851560154804102
CG10210	746.350490777079	0.0788426350880226	0.0610755949631512	1.29090244860637	0.196737506244847	0.303924607173026
CG10212	1892.34838312958	0.393224009588851	0.104052239452809	3.77910184015973	0.000157395047308195	0.000745357533122861
CG10214	165.518299595741	0.203511097664565	0.10786098555258	1.88679063724444	0.0591884909328238	0.116310041677866
CG10215	107.324419849549	0.206095849377052	0.119025120827689	1.731532368494	0.0833568569145864	0.153191317593852
CG10217	722.503269688424	-1.0374429011709	0.166609678732206	-6.22678651723707	4.76099147076865e-10	1.0582525701882e-08
CG10219	179.152858388609	-0.805277119264731	0.111858924575236	-7.19904220716071	6.06369806976423e-13	2.54731205548252e-11
CG10223	10232.3766642866	0.431065587932868	0.103758459778207	4.15451028142004	3.25984960283188e-05	0.000188797896946731
CG10226	22.483806095713	-1.97882592149452	0.368952250948626	-5.36336590007702	8.1685300420853e-08	9.67069089138307e-07
CG10234	143.662553324063	0.350345092418288	0.105720231825665	3.31388880224946	0.000920080899253535	0.00344879008124804
CG10236	25863.8182479799	0.221207264814975	0.165086733937041	1.33994573361259	0.180262988121574	0.2838130224035
CG10244	54.4551382589816	0.916522611541685	0.339625484577172	2.69862732086415	0.00696260987841026	0.0196626863852503
CG10254	1071.02531004538	-0.104969573373715	0.0825022469430575	-1.27232381254009	0.203258091282731	0.311810189968881
CG10286	1052.41276224069	0.1776703472957	0.0656818663401068	2.70501368483816	0.00683015756184028	0.0193278618159466
CG10289	1654.17137878292	-0.00575338820584996	0.0543690666524116	-0.105820985352427	0.915724386371381	0.943887777720659
CG1028	171.810003409332	0.0409587567804552	0.295100680070359	0.13879587390544	0.8896114545735	0.924399081081088
CG10302	2479.27482602946	-0.087564557604453	0.0756415285224934	-1.15762543823284	0.24701692358822	0.362901897732508
CG10305	14822.2073927979	0.289938752045451	0.0788346541277041	3.67780838583728	0.000235246572386127	0.00106006315070289
CG10306	1337.63636386651	-0.0131462495708623	0.0762539882760269	-0.172400812968301	0.863122433092292	0.9071044616174
CG10311	47.8085734617621	-1.79374432169905	0.278912299392852	-6.43121269877215	1.26589870994249e-10	3.31607259765394e-09
