"go" "term" "OddsRatio" "FDR"
"1" "GO:0044822" "poly(A) RNA binding" 5.85922789539228 6.72404848487375e-160
"2" "GO:0003735" "structural constituent of ribosome" 9.50722966315098 2.44516557763149e-38
"3" "GO:0001883" "purine nucleoside binding" 1.55612150234576 1.68856204567846e-12
"4" "GO:0032549" "ribonucleoside binding" 1.55481552175767 1.75967747200502e-12
"5" "GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 4.34428825731999 2.17799972077183e-12
"6" "GO:0032555" "purine ribonucleotide binding" 1.54473691533198 2.62836050213925e-12
"7" "GO:0032553" "ribonucleotide binding" 1.53986056398147 3.12090885717952e-12
"8" "GO:0016818" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 1.85446815691419 6.11582830889758e-12
"9" "GO:0016817" "hydrolase activity, acting on acid anhydrides" 1.84874247613643 6.38380195286771e-12
"10" "GO:0016462" "pyrophosphatase activity" 1.84919601328904 7.52957976584977e-12
"11" "GO:0016881" "acid-amino acid ligase activity" 5.38148294611962 1.15120675285093e-11
"12" "GO:0003743" "translation initiation factor activity" 7.78475711892797 1.66611427406837e-11
"13" "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 6.46674959334035 4.9235790999594e-10
"14" "GO:0030554" "adenyl nucleotide binding" 1.51387168639132 8.9507389011056e-10
"15" "GO:0050136" "NADH dehydrogenase (quinone) activity" 8.47593582887701 1.20806622984839e-09
"16" "GO:0003954" "NADH dehydrogenase activity" 8.47593582887701 1.20806622984839e-09
"17" "GO:0008137" "NADH dehydrogenase (ubiquinone) activity" 8.47593582887701 1.20806622984839e-09
"18" "GO:0005524" "ATP binding" 1.50862168268552 2.11632513312611e-09
"19" "GO:0019900" "kinase binding" 1.93020936870811 3.13138847919555e-09
"20" "GO:0051082" "unfolded protein binding" 3.7026627772168 3.34074021500634e-09
"21" "GO:0016887" "ATPase activity" 2.06306553704268 3.84711534618753e-09
"22" "GO:0019901" "protein kinase binding" 1.9070150822213 3.87382908890688e-08
"23" "GO:0003697" "single-stranded DNA binding" 4.12942519984774 4.66410128818981e-08
"24" "GO:0000988" "protein binding transcription factor activity" 1.77331311391039 6.58534153660414e-08
"25" "GO:0042802" "identical protein binding" 1.51062824839502 1.81841693738458e-07
"26" "GO:0004842" "ubiquitin-protein transferase activity" 2.1012496640688 2.50577125730053e-07
"27" "GO:0019003" "GDP binding" 5.00495260087506 4.33423618390051e-07
"28" "GO:0019843" "rRNA binding" 7.04969979986658 5.61127862142742e-07
