baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	name
ENSG00000134326	5374.10229626336	6.14095386684183	0.221846590307618	27.6810829426165	1.17972072820427e-168	2.13482262975844e-164	CMPK2
ENSG00000138646	6785.1390056427	5.40717130823869	0.213398610961855	25.3383622501893	1.20747925026226e-141	1.09252722563729e-137	HERC5
ENSG00000157601	18170.4915846049	5.31924474431158	0.211854986132815	25.1079516295966	4.07208206801134e-139	2.45627990342444e-135	MX1
ENSG00000132530	8527.86819340175	4.46205274184855	0.185105995510417	24.1053928563727	2.19453233401607e-128	9.9280642790887e-125	XAF1
ENSG00000111335	12800.7393289917	4.10633080193188	0.182833469890496	22.4594042020385	1.0356748748269e-111	3.74831450697351e-108	OAS2
ENSG00000130589	14702.663690506	4.78392324489852	0.21666804556837	22.0795052281438	4.975035315939e-108	1.5004706512872e-104	HELZ2
ENSG00000137491	1063.78912076063	-5.88682141733892	0.278210710409184	-21.159578682937	2.25225958947672e-99	5.82241279016725e-96	SLCO2B1
ENSG00000111331	20683.8207208047	5.51791268036605	0.261957723503306	21.064134344168	1.69699136790916e-98	3.83859447421051e-95	OAS3
ENSG00000134321	13431.9974378423	6.53408337861178	0.314431551371936	20.7806225237324	6.4812795166923e-96	1.30316926815627e-92	RSAD2
ENSG00000137628	5492.84821120685	3.9036825040321	0.187956244768271	20.7691024517164	8.2383315247559e-96	1.49080847271983e-92	DDX60
ENSG00000138642	4730.66300088264	4.48004099884162	0.219640625936864	20.3971418298972	1.77279196122189e-92	2.91640393911557e-89	HERC6
ENSG00000107201	5404.88492385302	4.01943643503723	0.206203985153345	19.4925254817367	1.27053208510555e-84	1.91596238433918e-81	DDX58
ENSG00000153898	625.027501524072	4.62890514883571	0.248837104969166	18.6021499864713	3.08676102884246e-77	4.29677135214871e-74	MCOLN2
ENSG00000115008	9375.37669934028	8.27596360712296	0.448476602735434	18.4535013792127	4.88734728256761e-76	6.3172454589531e-73	IL1A
ENSG00000138035	2113.5691028014	3.88325776340852	0.211058025642581	18.3990054468939	1.33797970255846e-75	1.61413871316652e-72	PNPT1
ENSG00000205413	8744.77022190464	3.14765044878261	0.172448013260448	18.2527498535383	1.96751600705108e-74	2.22526060397477e-71	SAMD9
