"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000000003" 105 0 0 0 0 0 105 0 0 0 0 0 105 58 2 0 0 2 "TSPAN6"
"ENSG00000000419" 172 2 0 2 0 0 172 9 0 3 0 0 172 56 0 0 0 0 "DPM1"
"ENSG00000000971" 111 0 0 0 0 0 111 0 0 0 0 0 111 52 0 0 0 0 "CFH"
"ENSG00000001036" 102 0 0 0 0 0 102 2 0 0 0 0 102 57 0 0 0 3 "FUCA2"
"ENSG00000001084" 75 2 0 0 0 0 75 5 0 3 0 0 75 36 0 0 0 0 "GCLC"
"ENSG00000001497" 84 0 0 0 0 0 84 3 0 0 0 0 84 48 0 0 0 0 "LAS1L"
"ENSG00000001629" 83 0 0 0 0 0 83 4 0 2 0 0 83 39 0 0 0 3 "ANKIB1"
"ENSG00000002549" 61 0 0 0 0 0 61 0 0 0 0 0 61 37 0 0 0 0 "LAP3"
"ENSG00000003096" 48 0 0 0 0 0 48 2 0 0 0 0 48 31 0 0 0 0 "KLHL13"
"ENSG00000003436" 220 0 0 0 0 0 220 4 0 0 0 0 220 118 2 0 0 8 "TFPI"
"ENSG00000004142" 78 0 0 0 0 0 78 2 0 0 0 0 78 48 0 0 0 4 "POLDIP2"
"ENSG00000004455" 253 4 0 0 2 0 253 5 0 0 0 0 253 108 0 0 0 0 "AK2"
"ENSG00000004478" 66 0 0 0 0 0 66 2 2 0 0 0 66 29 0 0 0 0 "FKBP4"
"ENSG00000004487" 94 2 0 0 0 0 94 4 0 0 0 0 94 30 0 0 0 0 "KDM1A"
"ENSG00000004534" 69 0 0 0 0 0 69 2 0 0 0 0 69 35 0 0 0 0 "RBM6"
"ENSG00000004766" 46 0 0 0 0 0 46 0 0 0 0 0 46 33 0 0 0 0 "CCDC132"
"ENSG00000004779" 187 6 0 0 0 0 187 0 0 0 0 0 187 119 0 0 0 6 "NDUFAB1"
"ENSG00000004799" 71 2 0 2 0 0 71 0 0 0 0 0 71 37 0 0 0 2 "PDK4"
"ENSG00000004864" 67 2 0 0 0 0 67 2 0 0 0 0 67 29 0 0 0 2 "SLC25A13"
"ENSG00000004897" 95 3 0 0 0 0 95 2 0 0 0 0 95 47 0 0 0 2 "CDC27"
"ENSG00000004961" 54 0 0 0 0 0 54 0 0 0 0 0 54 32 0 0 0 0 "HCCS"
"ENSG00000005022" 209 4 0 0 0 0 209 3 0 0 0 0 209 129 2 0 0 5 "SLC25A5"
"ENSG00000005059" 45 2 0 0 0 0 45 2 0 2 0 0 45 32 0 0 0 0 "CCDC109B"
"ENSG00000005075" 88 0 0 0 0 0 88 2 0 0 0 0 88 56 0 0 0 0 "POLR2J"
"ENSG00000005194" 95 0 0 0 0 0 95 2 0 0 0 0 95 57 2 0 0 0 "CIAPIN1"
"ENSG00000005436" 73 0 0 0 0 0 73 2 0 0 0 0 73 47 0 0 0 2 "GCFC2"
"ENSG00000005700" 55 0 0 0 0 0 55 5 0 2 0 0 55 28 0 0 0 3 "IBTK"
"ENSG00000005810" 78 0 0 0 0 0 78 2 0 0 0 0 78 31 0 0 0 0 "MYCBP2"
"ENSG00000005889" 164 5 2 0 0 0 164 0 0 0 0 0 164 52 0 0 0 0 "ZFX"
"ENSG00000005893" 122 0 0 0 0 0 122 0 0 0 0 0 122 73 0 0 0 0 "LAMP2"
"ENSG00000005955" 67 3 0 2 0 0 67 0 0 0 0 0 67 30 0 0 0 0 "GGNBP2"
"ENSG00000006007" 108 0 0 0 0 0 108 0 0 0 0 0 108 52 2 0 0 0 "GDE1"
"ENSG00000006282" 52 0 0 0 0 0 52 0 0 0 0 0 52 33 0 0 0 0 "SPATA20"
"ENSG00000006327" 70 2 0 2 0 0 70 2 0 0 0 0 70 40 0 0 0 0 "TNFRSF12A"
"ENSG00000006534" 104 0 0 0 0 0 104 0 0 0 0 0 104 53 0 0 0 5 "ALDH3B1"
"ENSG00000006576" 50 3 0 0 0 0 50 0 0 0 0 0 50 29 0 0 0 0 "PHTF2"
"ENSG00000006625" 96 0 0 0 0 0 96 2 0 0 0 0 96 48 2 0 0 0 "GGCT"
"ENSG00000006652" 206 3 0 0 0 0 206 4 2 2 0 0 206 113 2 0 0 7 "IFRD1"
"ENSG00000006704" 86 0 0 0 0 0 86 0 0 0 0 0 86 30 0 0 0 0 "GTF2IRD1"
"ENSG00000007038" 93 0 0 0 0 0 93 0 0 0 0 0 93 55 0 0 0 4 "PRSS21"
"ENSG00000007168" 177 7 0 2 0 0 177 6 0 2 0 0 177 90 5 2 0 2 "PAFAH1B1"
"ENSG00000007202" 95 0 0 0 0 0 95 2 0 0 0 0 95 40 0 0 0 2 "KIAA0100"
"ENSG00000007392" 53 0 0 0 0 0 53 0 0 0 0 0 53 30 0 0 0 0 "LUC7L"
"ENSG00000008018" 142 4 0 0 0 0 142 7 2 2 0 0 142 82 0 0 0 0 "PSMB1"
"ENSG00000008130" 63 0 0 0 0 0 63 2 0 0 0 0 63 34 0 0 0 0 "NADK"
