"ensembl_gene_id" "external_gene_name" "description"
"1" "WBGene00000066" "act-4" "Caenorhabditis elegans Protein ACT-4, isoform a. [Source:RefSeq mRNA;Acc:NM_076440]"
"2" "WBGene00000082" "adt-1" "Caenorhabditis elegans Protein ADT-1 (adt-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077715]"
"3" "WBGene00000217" "asp-4" "Caenorhabditis elegans Protein ASP-4 (asp-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077790]"
"4" "WBGene00000301" "cav-1" "Caenorhabditis elegans Protein CAV-1, isoform c. [Source:RefSeq mRNA;Acc:NM_001276839]"
"5" "WBGene00000503" "cht-1" "Caenorhabditis elegans Protein CHT-1 (cht-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076187]"
"6" "WBGene00000558" "cnc-4" "Caenorhabditis elegans Protein CNC-4 (cnc-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071015]"
"7" "WBGene00000620" "col-43" "Caenorhabditis elegans Protein COL-43 (col-43) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072673]"
"8" "WBGene00000638" "col-62" "Caenorhabditis elegans Protein COL-62 (col-62) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059690]"
"9" "WBGene00000670" "col-95" "Caenorhabditis elegans Protein COL-95 (col-95) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_181973]"
"10" "WBGene00000674" "col-99" "Caenorhabditis elegans Protein COL-99, isoform b (col-99) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001129303]"
"11" "WBGene00000728" "col-155" "Caenorhabditis elegans Protein COL-155 (col-155) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073487]"
"12" "WBGene00000731" "col-158" "Caenorhabditis elegans Protein COL-158 (col-158) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073580]"
"13" "WBGene00001075" "dpy-14" "Caenorhabditis elegans Protein DPY-14 (dpy-14) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059557]"
"14" "WBGene00001388" "far-4" "Caenorhabditis elegans Protein FAR-4 (far-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073851]"
"15" "WBGene00001477" "fmo-2" "Caenorhabditis elegans Protein FMO-2 (fmo-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_069571]"
"16" "WBGene00001481" "fog-1" "Caenorhabditis elegans Protein FOG-1, isoform b. [Source:RefSeq mRNA;Acc:NM_001026621]"
"17" "WBGene00001536" "gcy-9" "Caenorhabditis elegans Protein GCY-9 (gcy-9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077496]"
"18" "WBGene00001842" "her-1" "Caenorhabditis elegans Protein HER-1, isoform a. [Source:RefSeq mRNA;Acc:NM_001029139]"
"19" "WBGene00002050" "ifa-1" "Caenorhabditis elegans Protein IFA-1, isoform c (ifa-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001083295]"
"20" "WBGene00002090" "ins-7" "Caenorhabditis elegans Protein INS-7, isoform a (ins-7) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001268489]"
"21" "WBGene00002271" "lec-8" "Caenorhabditis elegans Protein LEC-8 (lec-8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077248]"
"22" "WBGene00003091" "lys-2" "Caenorhabditis elegans Protein LYS-2 (lys-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073242]"
"23" "WBGene00003092" "lys-3" "Caenorhabditis elegans Protein LYS-3 (lys-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073243]"
"24" "WBGene00003473" "mtl-1" "Caenorhabditis elegans Protein MTL-1 (mtl-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072295]"
"25" "WBGene00003524" "nas-5" "Caenorhabditis elegans Protein NAS-5 (nas-5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_060215]"
"26" "WBGene00003546" "nas-28" "Caenorhabditis elegans Protein NAS-28 (nas-28) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065941]"
"27" "WBGene00003567" "ncx-2" "Caenorhabditis elegans Protein NCX-2, isoform d. [Source:RefSeq mRNA;Acc:NM_001028473]"
"28" "WBGene00004052" "pme-4" "Caenorhabditis elegans Protein PME-4 (pme-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_069095]"
"29" "WBGene00004814" "skr-8" "Caenorhabditis elegans Protein SKR-8 (skr-8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_070643]"
"30" "WBGene00004815" "skr-9" "Caenorhabditis elegans Protein SKR-9 (skr-9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_070642]"
"31" "WBGene00004818" "skr-12" "Caenorhabditis elegans Protein SKR-12 (skr-12) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_070644]"
"32" "WBGene00004987" "spp-2" "Caenorhabditis elegans Protein SPP-2 (spp-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_171721]"
"33" "WBGene00004993" "spp-8" "Caenorhabditis elegans Protein SPP-8 (spp-8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_069046]"
"34" "WBGene00004994" "spp-9" "Caenorhabditis elegans Protein SPP-9 (spp-9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077517]"
"35" "WBGene00005005" "spp-20" "Caenorhabditis elegans Protein SPP-20 (spp-20) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072264]"
"36" "WBGene00006539" "tbb-6" "Caenorhabditis elegans Protein TBB-6 (tbb-6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073674]"
"37" "WBGene00006585" "tni-3" "Caenorhabditis elegans Protein TNI-3 (tni-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_074849]"
