mir g rho pvalue adj genelog2FC mirlog2FC
cel-miR-788-3p WBGene00013364 -0.998245043774876 4.6171045084502e-06 0.00215618780544624 2.67876504455457 -2.4068964107827
cel-miR-788-3p WBGene00010174 -0.995187882948886 3.46789899471311e-05 0.00796446921288816 2.06656908625901 -2.4068964107827
cel-miR-50-5p WBGene00020774 -0.994154003693935 5.11636137872901e-05 0.00796446921288816 4.2699015939221 -2.16683521908187
cel-miR-788-3p WBGene00017586 -0.992889472296236 7.56596536057275e-05 0.00883326455846868 3.27358775572454 -2.4068964107827
cel-miR-788-3p WBGene00000620 -0.988959021222014 0.000182181853173513 0.0115289190405521 4.68402984365952 -2.4068964107827
cel-miR-230-5p WBGene00044471 -0.988939294059792 0.000182832244797625 0.0115289190405521 5.651447159426 -3.02695604759535
cel-miR-788-3p WBGene00045305 -0.987239544410109 0.000243204952733315 0.0115289190405521 2.27431169789777 -2.4068964107827
cel-miR-1817 WBGene00015167 -0.986148599286683 0.000286463178695567 0.0115289190405521 2.39399749797876 -2.24753801076571
cel-miR-230-5p WBGene00009067 -0.985932012941684 0.000295470304390125 0.0115289190405521 3.49944328939148 -3.02695604759535
cel-let-7-5p WBGene00003473 -0.985493989879106 0.000314110285713586 0.0115289190405521 6.50355146174104 -1.76256156478574
cel-miR-1817 WBGene00044132 -0.984772465187342 0.000346051260944753 0.0115289190405521 2.17451447251583 -2.24753801076571
cel-miR-788-3p WBGene00000670 -0.984678753166565 0.000350312647424642 0.0115289190405521 3.30850119244277 -2.4068964107827
cel-miR-230-5p WBGene00044379 -0.984427322126104 0.000361874192457221 0.0115289190405521 2.79762431345733 -3.02695604759535
cel-miR-1022-5p WBGene00017390 -0.984052346257508 0.000379463525107091 0.0115289190405521 2.40516658041931 -1.42406040270407
cel-miR-788-3p WBGene00010901 -0.983989274003761 0.000382462898845654 0.0115289190405521 2.52776672532367 -2.4068964107827
cel-miR-230-5p WBGene00020167 -0.983530522415097 0.000404631916927392 0.0115289190405521 2.29149585953412 -3.02695604759535
cel-miR-1022-5p WBGene00003546 -0.982184691471862 0.000473250669139061 0.0115289190405521 2.88601165926257 -1.42406040270407
cel-miR-230-5p WBGene00003524 -0.982163179332052 0.000474390845696387 0.0115289190405521 2.08898999250457 -3.02695604759535
cel-miR-230-5p WBGene00004393 -0.981245877235714 0.000524277607957292 0.0115289190405521 2.21933060565109 -3.02695604759535
cel-miR-788-3p WBGene00008850 -0.981059218539864 0.000534732270479328 0.0115289190405521 4.48283599050152 -2.4068964107827
cel-miR-1022-5p WBGene00008850 -0.980862394471484 0.000545867363695613 0.0115289190405521 4.48283599050152 -1.42406040270407
cel-miR-230-5p WBGene00017265 -0.98072486332129 0.000553715686593487 0.0115289190405521 3.70265811590113 -3.02695604759535
cel-miR-230-5p WBGene00017485 -0.980480367468825 0.000567805434545392 0.0115289190405521 3.06503486347908 -3.02695604759535
cel-miR-230-5p WBGene00006191 -0.979658360616379 0.000616464934128066 0.0118150077690222 3.86512016843228 -3.02695604759535
cel-miR-788-3p WBGene00022570 -0.979394671183341 0.000632495062581486 0.0118150077690222 2.31363427821157 -2.4068964107827
cel-miR-1022-5p WBGene00008803 -0.978837463094257 0.000667040599945569 0.01198107539133 2.23978975232092 -1.42406040270407
cel-miR-788-3p WBGene00017128 -0.977873377210227 0.000728964695860957 0.0120618168823105 2.45264904365474 -2.4068964107827
cel-miR-788-3p WBGene00001481 -0.977870379694224 0.000729161482438824 0.0120618168823105 2.95041393743624 -2.4068964107827
cel-miR-230-5p WBGene00044472 -0.977569914030307 0.000749020748580308 0.0120618168823105 6.00501791683838 -3.02695604759535
cel-miR-230-5p WBGene00001387 -0.976886423588838 0.000795182053120883 0.0123357015843097 5.92021175256447 -3.02695604759535
cel-miR-788-3p WBGene00010049 -0.976543499761015 0.000818858135146895 0.0123357015843097 2.59554191484469 -2.4068964107827
cel-miR-1022-5p WBGene00004393 -0.975921119616153 0.000862708343916216 0.0123680249188783 2.21933060565109 -1.42406040270407
cel-miR-230-5p WBGene00021310 -0.974883585417647 0.000938329274535808 0.0123680249188783 3.30859655638967 -3.02695604759535
cel-miR-788-3p WBGene00008388 -0.974830609955262 0.000942274911252129 0.0123680249188783 3.17914102040961 -2.4068964107827
cel-miR-230-5p WBGene00015692 -0.974187716188751 0.000990811966594107 0.0123680249188783 2.64058573662636 -3.02695604759535
cel-miR-788-3p WBGene00010185 -0.974068159766596 0.000999971439813425 0.0123680249188783 2.08067562166504 -2.4068964107827
cel-miR-230-5p WBGene00009964 -0.973805607607827 0.00102023269788649 0.0123680249188783 2.26362997863604 -3.02695604759535
cel-miR-790-5p WBGene00015280 -0.973588788696149 0.00103711652608136 0.0123680249188783 3.1336755194152 -1.74891405230186
cel-miR-790-5p WBGene00003473 -0.97340768057313 0.00105132478009701 0.0123680249188783 6.50355146174104 -1.74891405230186
cel-miR-788-3p WBGene00016745 -0.973305798147961 0.00105935973609236 0.0123680249188783 3.33372797443076 -2.4068964107827
