"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000000003" 1215 30 0 0 0 0 1215 31 28 0 0 0 1215 539 14 0 0 43 "TSPAN6"
"ENSG00000000419" 4174 48 0 39 0 0 4174 246 48 59 5 4 4174 1119 0 13 0 36 "DPM1"
"ENSG00000000971" 1273 11 0 11 0 0 1273 0 0 0 0 0 1273 378 2 0 0 26 "CFH"
"ENSG00000001036" 1495 5 0 3 0 0 1495 52 0 29 0 0 1495 810 24 3 0 43 "FUCA2"
"ENSG00000001084" 996 36 16 16 0 0 996 75 2 59 0 0 996 364 2 3 0 20 "GCLC"
"ENSG00000001461" 228 0 0 0 0 0 228 34 0 34 0 0 228 141 0 0 0 2 "NIPAL3"
"ENSG00000001497" 1176 3 0 0 0 0 1176 30 0 18 10 0 1176 787 0 4 0 36 "LAS1L"
"ENSG00000001617" 167 10 0 0 0 2 167 0 0 0 0 0 167 28 0 0 0 7 "SEMA3F"
"ENSG00000001629" 1171 19 0 3 13 0 1171 97 2 54 0 0 1171 354 24 0 0 36 "ANKIB1"
"ENSG00000001631" 402 9 0 0 0 0 402 0 0 0 0 0 402 103 0 0 0 7 "KRIT1"
"ENSG00000002016" 247 0 0 0 0 0 247 0 0 0 0 0 247 41 0 0 0 0 "RAD52"
"ENSG00000002330" 177 0 0 0 0 0 177 3 2 0 0 0 177 101 8 0 0 0 "BAD"
"ENSG00000002549" 749 2 0 0 0 2 749 2 0 0 0 0 749 456 2 0 0 2 "LAP3"
"ENSG00000002586" 104 5 0 0 0 0 104 0 0 0 0 0 104 46 0 0 0 0 "CD99"
"ENSG00000002746" 51 0 0 0 0 0 51 0 0 0 0 0 51 43 0 0 0 0 "HECW1"
"ENSG00000002822" 321 0 0 0 0 0 321 10 0 0 0 0 321 134 0 0 0 0 "MAD1L1"
"ENSG00000002919" 73 0 0 0 0 0 73 0 0 0 0 0 73 39 0 0 0 0 "SNX11"
"ENSG00000003056" 151 0 0 0 0 0 151 0 0 0 0 0 151 40 0 0 0 0 "M6PR"
"ENSG00000003096" 658 26 0 25 0 0 658 20 0 0 0 0 658 439 2 0 0 22 "KLHL13"
"ENSG00000003393" 262 0 0 0 0 0 262 0 0 0 0 0 262 65 0 0 0 0 "ALS2"
"ENSG00000003402" 524 10 0 0 0 0 524 0 0 0 0 0 524 168 0 0 0 0 "CFLAR"
"ENSG00000003436" 3494 115 19 94 0 0 3494 101 35 35 20 0 3494 1595 43 2 0 99 "TFPI"
"ENSG00000003509" 83 0 0 0 0 0 83 24 0 0 0 0 83 27 0 0 0 0 "NDUFAF7"
