"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000000003" 642 2 0 0 0 0 642 19 18 0 0 0 642 272 6 0 0 18 "TSPAN6"
"ENSG00000000419" 1061 10 0 7 0 0 1061 154 35 51 0 0 1061 221 2 0 0 2 "DPM1"
"ENSG00000000971" 813 6 0 0 0 0 813 3 0 0 0 0 813 89 0 0 0 0 "CFH"
"ENSG00000001036" 754 2 0 0 0 0 754 26 0 11 0 0 754 385 12 0 0 6 "FUCA2"
"ENSG00000001084" 507 22 0 10 10 0 507 80 0 12 0 0 507 144 0 0 0 2 "GCLC"
"ENSG00000001461" 152 0 0 0 0 0 152 0 0 0 0 0 152 40 0 0 0 6 "NIPAL3"
"ENSG00000001497" 642 0 0 0 0 0 642 16 0 7 0 0 642 333 2 0 0 13 "LAS1L"
"ENSG00000001629" 732 84 0 57 0 0 732 85 0 3 0 0 732 117 2 4 0 12 "ANKIB1"
"ENSG00000001631" 369 0 0 0 0 0 369 0 0 0 0 0 369 54 0 0 0 5 "KRIT1"
"ENSG00000002549" 487 2 0 0 0 0 487 39 35 0 0 0 487 175 6 0 0 3 "LAP3"
"ENSG00000002746" 55 0 0 0 0 0 55 0 0 0 0 0 55 31 0 0 0 0 "HECW1"
"ENSG00000003096" 729 32 4 28 0 0 729 20 2 0 14 0 729 306 0 9 0 8 "KLHL13"
"ENSG00000003393" 148 0 0 0 0 0 148 0 0 0 0 0 148 42 0 6 0 0 "ALS2"
"ENSG00000003400" 85 0 0 0 0 0 85 0 0 0 0 0 85 31 0 0 0 0 "CASP10"
"ENSG00000003402" 286 0 0 0 0 0 286 12 0 0 0 0 286 20 0 0 0 0 "CFLAR"
"ENSG00000003436" 1684 53 4 22 0 0 1684 45 10 14 0 0 1684 453 17 2 0 31 "TFPI"
"ENSG00000003509" 124 4 0 3 0 0 124 19 0 19 0 0 124 33 0 0 0 0 "NDUFAF7"
"ENSG00000003756" 476 84 0 31 22 0 476 11 0 0 0 0 476 37 0 0 0 0 "RBM5"
"ENSG00000003989" 345 35 10 14 10 0 345 6 0 0 0 0 345 43 0 0 0 0 "SLC7A2"
"ENSG00000004142" 675 4 0 0 0 0 675 34 0 9 8 0 675 297 5 0 0 13 "POLDIP2"
"ENSG00000004455" 2282 33 0 12 7 0 2282 25 3 8 5 0 2282 886 15 0 0 9 "AK2"
"ENSG00000004478" 499 5 0 0 0 0 499 13 12 0 0 0 499 35 0 0 0 4 "FKBP4"
"ENSG00000004487" 1292 77 0 22 16 13 1292 55 0 13 29 0 1292 321 17 3 0 2 "KDM1A"
"ENSG00000004534" 463 0 0 0 0 0 463 40 10 26 0 0 463 150 2 12 0 0 "RBM6"
"ENSG00000004660" 254 0 0 0 0 0 254 0 0 0 0 0 254 40 0 0 0 2 "CAMKK1"
"ENSG00000004700" 591 29 0 3 22 0 591 40 0 20 17 0 591 170 13 17 0 0 "RECQL"
"ENSG00000004766" 404 31 0 13 0 0 404 25 0 23 0 0 404 98 4 2 0 0 "CCDC132"
"ENSG00000004779" 3784 170 29 54 27 2 3784 87 16 34 0 17 3784 2294 16 0 0 67 "NDUFAB1"
"ENSG00000004799" 741 15 0 10 0 0 741 11 0 0 0 0 741 147 0 0 0 0 "PDK4"
"ENSG00000004864" 548 19 0 0 6 0 548 42 0 0 3 3 548 140 7 0 0 14 "SLC25A13"
"ENSG00000004866" 355 0 0 0 0 0 355 32 0 0 0 0 355 94 0 0 0 0 "ST7"
"ENSG00000004897" 1041 61 13 34 5 0 1041 54 8 10 31 0 1041 184 0 0 14 3 "CDC27"
"ENSG00000004961" 532 31 0 20 0 0 532 21 13 2 0 0 532 257 3 0 0 0 "HCCS"
