"AL_26s_A10_R" "AL_26s_A12_R" "AL_26s_A8_R" "AL_26s_B10_R" "AL_26s_B11_R" "AL_26s_B12_R" "AL_26s_B1_R" "AL_26s_B2_R" "AL_26s_B3_R" "AL_26s_B6_R" "AL_26s_B7_R" "AL_26s_B8_R" "AL_26s_B9_R" "AL_26s_C1_R"
"ENSMUSG00000031075" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 6.2675702775411
"ENSMUSG00000037949" 0.997719363193959 0.997719363193959 0.997719363193959 6.33119070092072 5.41000014312618 6.18222404066918 4.09841544474099 5.7163210962797 3.56882843830943 4.55303715687297 0.997719363193959 5.58532626464352 3.94818088254864 0.997719363193959
"ENSMUSG00000038115" 0.997719363193959 0.997719363193959 4.8702849396743 3.19138590553317 0.997719363193959 5.43267883726112 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959
"ENSMUSG00000035189" 5.5376936298798 0.997719363193959 5.17237821963118 0.997719363193959 3.4596325120939 0.997719363193959 3.25749284658798 5.88014498068268 5.81455635698791 0.997719363193959 0.997719363193959 5.12370286765179 0.997719363193959 5.30448698619507
"ENSMUSG00000055489" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 2.7002591154254 0.997719363193959 0.997719363193959 4.7701002745508 5.19143697409275 0.997719363193959 0.997719363193959 4.44079729709788 0.997719363193959 3.85841283601533
"ENSMUSG00000064210" 0.997719363193959 0.997719363193959 5.82017702745107 5.69941616561424 4.85852383389016 5.43267883726112 5.78034493008334 5.5314825891563 4.98212486836983 0.997719363193959 5.38666032111347 7.43388314287187 7.29040128260848 6.2675702775411
"ENSMUSG00000034863" 0.997719363193959 0.997719363193959 0.997719363193959 4.54911223425534 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959
"ENSMUSG00000042797" 0.997719363193959 0.997719363193959 4.48771124630659 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 4.44079729709788 0.997719363193959 0.997719363193959
"ENSMUSG00000024411" 6.50634737589572 6.42500572720774 6.26563530699424 6.04961335271592 6.29529533475644 4.2965849606758 9.38335025769679 6.77447967933352 8.75264528202257 7.76005998633565 6.66666881279009 5.93450051944405 3.12369491203674 0.997719363193959
"ENSMUSG00000023017" 0.997719363193959 0.997719363193959 5.17237821963118 6.19726074227916 3.95455715609153 5.22136029066883 6.13121981670712 5.88014498068268 4.07050971387661 0.997719363193959 5.38666032111347 5.37289971122209 3.12369491203674 0.997719363193959
"ENSMUSG00000020704" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 5.6871346483162 2.97852630849735 3.25749284658798 4.38983316027219 0.997719363193959 0.997719363193959 0.997719363193959 3.09937094495168 0.997719363193959 4.75552006459585
"ENSMUSG00000033007" 0.997719363193959 4.90558617861424 0.997719363193959 0.997719363193959 2.7002591154254 0.997719363193959 0.997719363193959 4.38983316027219 0.997719363193959 0.997719363193959 4.45392816420185 0.997719363193959 3.94818088254864 3.85841283601533
"ENSMUSG00000034656" 0.997719363193959 0.997719363193959 5.63479765904533 3.19138590553317 5.06666009575811 7.1017241040665 4.09841544474099 3.05644200859049 6.85173000228985 0.997719363193959 5.38666032111347 6.55500882681704 5.8009387639867 6.01199517243339
