"AL_26s_A10_R" "AL_26s_A12_R" "AL_26s_A8_R" "AL_26s_B10_R" "AL_26s_B11_R" "AL_26s_B12_R" "AL_26s_B1_R" "AL_26s_B2_R" "AL_26s_B3_R" "AL_26s_B6_R" "AL_26s_B7_R" "AL_26s_B8_R" "AL_26s_B9_R" "AL_26s_C1_R"
"ENSMUSG00000037872" 4.07171922706732 0.997719363193959 3.96556375042923 6.86053429523942 5.06666009575811 2.97852630849735 5.31573346574048 4.7701002745508 5.53638008398385 0.997719363193959 6.66666881279009 6.08178553314338 4.46954992010369 0.997719363193959
"ENSMUSG00000042429" 0.997719363193959 6.8316369588667 3.96556375042923 5.69941616561424 4.85852383389016 6.75390159172088 6.27910709117859 6.02724853509478 6.04766791778806 0.997719363193959 0.997719363193959 4.44079729709788 6.11249511971026 5.70118420930612
"ENSMUSG00000018500" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 5.31573346574048 0.997719363193959 3.56882843830943 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959
"ENSMUSG00000045875" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 4.09841544474099 0.997719363193959 0.997719363193959 0.997719363193959 5.38666032111347 3.09937094495168 0.997719363193959 0.997719363193959
"ENSMUSG00000050541" 4.07171922706732 0.997719363193959 0.997719363193959 4.02440131284661 3.4596325120939 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959
"ENSMUSG00000033717" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 3.25749284658798 0.997719363193959 3.56882843830943 0.997719363193959 0.997719363193959 0.997719363193959 3.94818088254864 0.997719363193959
"ENSMUSG00000035283" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 3.783118402312 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959
"ENSMUSG00000031489" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 3.4596325120939 6.18222404066918 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 4.85170763875519 0.997719363193959
"ENSMUSG00000068122" 0.997719363193959 5.85671022910634 0.997719363193959 0.997719363193959 2.7002591154254 0.997719363193959 0.997719363193959 3.87199411174676 0.997719363193959 0.997719363193959 0.997719363193959 4.82228539976321 0.997719363193959 0.997719363193959
"ENSMUSG00000021070" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 4.75552006459585
