s11+s12	s13+s14	s15+s16	s1	s2	s3	s4	s5	s6	s7	s8	s9
ENSMUST00000134384	13.1316677302849	13.1910156165679	13.331018394425	13.1081991102373	13.2067000685874	13.1808667810131	13.2171474730414	13.0674670764162	13.0957756260737	13.2028626398117	13.1460660446557	13.1188274438105
ENSMUST00000044369	12.6611753571463	12.3893179837974	12.3346295882923	12.2438790217743	12.311342522238	12.3437247308227	12.3820610994636	12.2703027784444	12.2449686149683	12.8390140663187	12.6684271187946	12.3550230823976
ENSMUST00000159906	12.5696959695116	12.6560328036147	12.7473193527349	12.7194099094139	12.848530856447	12.7759805720637	12.6153364592044	12.6892295634877	12.7776363150152	12.5392649825958	12.5636230633684	12.5021600119956
ENSMUST00000140079	6.79463104734907	6.23695866099134	6.05928128400804	5.81162613732843	5.77693562979422	5.78965449149683	6.25394848014556	6.06973254148662	5.9540504362615	6.7848391603114	6.68473771603471	6.13462851765781
ENSMUST00000061280	12.6999706510008	12.7409735888283	12.8872252037588	12.7219337788892	12.9413892522361	12.8575268409185	12.6809595721336	12.7506949438692	12.9170259120479	12.7494527185893	12.6801964136425	12.6349836409066
ENSMUST00000072079	8.22718908561187	8.0664495467168	8.17567604552295	7.96174665988298	7.9767603105509	8.01193436678358	8.13951584523553	8.13404378206433	8.03907234861804	8.1647650033396	8.07941722209051	8.17003951516212
ENSMUST00000144177	10.6909857440645	10.8946445114932	11.5109021640156	11.5169138281151	11.5689575259	11.1849112419675	11.6159368719586	10.9378240113633	10.9055481777805	10.8510831189164	10.5711140282708	10.8502284473638
ENSMUST00000121942	7.11863310069819	7.26592960516877	6.98282148207799	7.20468048757168	7.09248823816187	7.03816450342621	7.21824905610322	7.02076320259422	7.11444216239085	7.14548002305744	7.16165165860878	7.35964571605797
ENSMUST00000181821	7.55830196483477	7.68563226018184	7.45093294739169	7.56279917598917	7.42816220708363	7.36405865912597	7.52130578431438	7.36107897123804	7.54313248789483	7.46996728908162	7.52736194684266	7.66087431261542
ENSMUST00000166384	11.3808998996603	11.246544229895	11.1274284119038	11.0226743536675	11.1025502296588	11.0707754896202	10.9486906333412	11.017931107894	11.1391419121409	11.2392921176407	11.3122098613192	11.1041253555488
ENSMUST00000052843	6.6343750131425	6.61062940593194	6.55804797877764	6.68952095280242	6.62129441697091	6.54211460292108	6.69731423209922	6.48568513873664	6.60069077320534	6.52117232520819	6.61227173090945	6.51373015903718
ENSMUST00000190610	10.3995543482662	10.2754504043501	10.321196996738	10.3062724859613	10.2836558795877	10.2879656530756	10.1413412942498	10.1802638523162	10.2900432082739	10.3966943023867	10.3483086314607	10.341495054885
ENSMUST00000027056	13.484463219807	13.5380228730659	13.6163359114738	13.424468125246	13.5739570925883	13.3592018797047	13.2634175993517	13.3696858671007	13.4613603927931	13.3368947651287	13.5478547546215	13.2776622380192
ENSMUST00000171690	7.50439576978206	7.4751572671605	7.83432024236493	7.95723086543816	8.04842259167068	7.63708285617493	8.17015998850947	7.58137178061588	7.40942708534181	7.40941070769821	7.27518598279279	7.53068243997484
ENSMUST00000181272	9.77809004129563	9.43096641063914	9.41198332882283	9.78066589351125	9.47810404672964	9.50778348759583	9.53400982012088	9.31251736526926	9.43233142970922	9.5138139562725	9.42439364022567	9.40643588683404
ENSMUST00000177608	15.598325844107	15.8611949252296	15.7329570789333	15.9187292986152	15.7032603031816	15.7695258736643	15.4538894567882	15.6637281255014	15.9142633842587	15.5480275227292	15.6351861221084	15.7876858004611
ENSMUST00000121367	11.9331198105389	11.8429723236383	11.8884347614361	12.0078681544567	11.8389853411877	11.9380644789586	12.1090747695714	12.0244417175379	11.792386885172	11.902114288817	11.9875621479118	11.8990275006038
ENSMUST00000188371	9.2790904000872	9.2145170189854	9.05588044850191	9.23620909874306	9.20905012852527	9.21712472468301	9.26685437755939	9.25253665784221	9.08506436464962	9.22705473652383	9.10478071459153	9.38521960468926
ENSMUST00000027053	8.97181518219003	9.16210398954904	9.01103926669995	8.96885352217823	9.22700595624322	9.02100883630651	9.03130529093837	9.03703942476345	9.00081626214513	8.98748325292208	9.06203235669776	9.03614712175755
ENSMUST00000177501	10.5027142018699	10.5017015497195	10.9081708482906	10.6790610295471	10.9552612354936	10.7912123085918	11.039141085104	10.6207109434748	10.5253553455044	10.7095298420833	10.5338112697279	10.5486256972438
ENSMUST00000191260	9.27135917925553	9.14112876565878	9.01135086947473	9.1579202339818	9.11836794572136	9.2323763170846	9.38914249947198	9.15351825004104	9.25522561517189	9.479641138915	9.38238762186336	9.19707284546266
ENSMUST00000088476	9.05084351402725	9.02188797425002	9.02248169773493	8.81070666891106	8.43675242611186	8.85819190740281	8.52146825601253	8.46415904047785	8.48269698172446	9.58240129548265	8.99817234583896	9.2570705169301
