id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrezgene	description	xloc
ENSMUST00000003981	1588.83057931753	-5.42054257920304	0.204005584589646	-26.5705597722062	1.48640353840539e-155	2.12421929673515e-151	Il7r	16197	interleukin 7 receptor	XLOC_011954
ENSMUST00000029900	9275.00542322753	-6.65730057963846	0.253824640740671	-26.2279523383237	1.27575937687125e-151	9.11593862743354e-148	Atp6v0d2	242341	ATPase, H+ transporting, lysosomal V0 subunit D2	XLOC_023767
ENSMUST00000151405	25321.5852188996	-5.13625628782655	0.20267477892339	-25.3423554480256	1.09110261760039e-141	5.19764916937571e-138	Lgals3	16854	lectin, galactose binding, soluble 3	XLOC_010039
ENSMUST00000024791	4209.25385426117	-5.39808313422325	0.216496752367421	-24.9337834179704	3.20195922650792e-137	1.14397998265062e-133	Trem2	83433	triggering receptor expressed on myeloid cells 2	XLOC_014257
ENSMUST00000155802	4609.71119540531	-4.4306973230567	0.186078320895007	-23.810927042687	2.57364010295087e-125	7.35597814225419e-122	Cd84	12523	CD84 antigen	XLOC_001142
ENSMUST00000021506	3080.32179536993	-4.27900611704454	0.183890256364937	-23.2693466289627	9.06298230477873e-120	2.15865133529321e-116	Serpina3n	20716	serine (or cysteine) peptidase inhibitor, clade A, member 3N	XLOC_007399
ENSMUST00000025582	2788.22836193159	-3.93863984047759	0.170017451032138	-23.1660915780526	1.00080605568671e-118	2.04321704883125e-115	Ms4a6d	68774	membrane-spanning 4-domains, subfamily A, member 6D	XLOC_016726
ENSMUST00000092163	150880.16577819	-4.53765120237625	0.205768075371534	-22.0522605082596	9.08696478747817e-108	1.62327267222313e-104	Lyz2	17105	lysozyme 2	XLOC_003944
ENSMUST00000033820	337.205311232553	-6.13996275136747	0.2826290240953	-21.7244593722162	1.20495747371984e-104	1.91333858410335e-101	F7	14068	coagulation factor VII	XLOC_032419
ENSMUST00000115068	1986.70391821832	-4.33804343724668	0.207799455724836	-20.8761058690694	8.83020068451407e-97	1.26192397982391e-93	Slc37a2	56857	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	XLOC_035083
ENSMUST00000015998	26454.5241702379	-6.47912714951867	0.312773568702313	-20.7150724928591	2.53324162132772e-95	3.2911414554904e-92	Cd5l	11801	CD5 antigen-like	XLOC_020875
ENSMUST00000140214	758.076154243252	-6.32901772279243	0.30620600312883	-20.6691497166031	6.56628376134566e-95	7.81989676944924e-92	Mcoln3	171166	mucolipin 3	XLOC_021337
ENSMUST00000041874	1541.26843215926	-4.27989528037518	0.209056797320471	-20.4724043189773	3.79431259251262e-93	4.17111701996907e-90	Npl	74091	N-acetylneuraminate pyruvate lyase	XLOC_002235
ENSMUST00000185421	453.931432130441	-3.8056075148605	0.186017934786638	-20.4582827952881	5.0692448324497e-93	5.17461270718133e-90	Gpr35	64095	G protein-coupled receptor 35	XLOC_000662
ENSMUST00000156647	2891.6000280673	-4.63518325470795	0.22849657519675	-20.2855699290756	1.72452754385983e-91	1.64301487528672e-88	Adam8	11501	a disintegrin and metallopeptidase domain 8	XLOC_032255
ENSMUST00000000299	5740.49130024893	-3.8586344584737	0.191008319752923	-20.2013947008434	9.51710746231208e-91	8.50056142149387e-88	Itgb2	16414	integrin beta 2	XLOC_002909
ENSMUST00000165310	1428.49651408423	-2.6263712579794	0.130201974327109	-20.1715163810121	1.7421433875402e-90	1.46452771478453e-87	Ms4a6c	73656	membrane-spanning 4-domains, subfamily A, member 6C	XLOC_016215
ENSMUST00000018918	6591.66876613141	-4.47264513897781	0.222989100424991	-20.0576850189246	1.72950460258808e-89	1.37313057086591e-86	Cd68	12514	CD68 antigen	XLOC_006102
