baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSG00000225774	22.408450343933	-2.76498056316152	0.363876336885779	-7.59868197757924	2.9916195313059e-14	4.04855871171627e-10	SIRPAP1
ENSG00000198178	60.3072957694594	1.99562371623406	0.300326370749204	6.64485010508972	3.03525809187233e-11	2.05380738786541e-07	CLEC4C
ENSG00000253193	63.6567346754698	2.05086288130621	0.311950141314217	6.574329066389	4.88730384925621e-11	2.20466276639948e-07	NA
ENSG00000167034	94.9287925301272	1.9789367714528	0.330841465019168	5.98152583848023	2.21056982864461e-09	7.47891037276188e-06	NKX3-1
ENSG00000150337	661.737336732806	1.65739326653289	0.285860869156065	5.79790186542824	6.71497246401061e-09	1.81747444710911e-05	FCGR1A
ENSG00000182809	133.735834555327	-1.49475009688613	0.272006149155191	-5.49528053512245	3.90089793911872e-08	8.79847530168228e-05	CRIP2
ENSG00000183019	653.407389917707	1.73478048815157	0.3213032440115	5.39920004072377	6.69387024705353e-08	0.000129411637219108	MCEMP1
ENSG00000165548	64.7635403357063	1.56531995113049	0.292715014472655	5.3475902285044	8.91329803141446e-08	0.000150779577823915	TMEM63C
ENSG00000121316	7060.88029543537	1.09111692416688	0.206522907552677	5.28327311045905	1.26895997415506e-07	0.000190809281447117	PLBD1
ENSG00000161944	218.877953711891	1.34639830068006	0.256711304718387	5.24479551906395	1.56455747446806e-07	0.000211731563019763	ASGR2
ENSG00000198019	351.690269141886	1.30192017709571	0.254526061884572	5.1150761044114	3.13614484462639e-07	0.000385831347112081	FCGR1B
ENSG00000183762	3152.71573360358	1.63881446721838	0.322611507717454	5.0798388402613	3.77755189635041e-07	0.000426013415110917	KREMEN1
ENSG00000163754	1475.12332508728	1.41648153588448	0.280331392051408	5.05288232444806	4.35192047044286e-07	0.000453034920973102	GYG1
ENSG00000168874	21.7868613442271	1.80574970512688	0.360863301443045	5.00397158122184	5.61610400967303e-07	0.000486811807378225	ATOH8
ENSG00000110237	68.3318859420738	1.7307266019758	0.346016104371799	5.00186719666698	5.67776987720524e-07	0.000486811807378225	ARHGEF17
ENSG00000256553	68.4945425671873	-1.72174091202736	0.344400253691106	-4.99924402951106	5.75555229295175e-07	0.000486811807378225	TRAV1-2
ENSG00000120217	408.419125883043	1.20027092854539	0.242933648843555	4.94073560521185	7.78283851622409e-07	0.000619559727294474	CD274
ENSG00000233029	107.135312114802	1.44503079167017	0.294602666580251	4.90501599474332	9.34197264208647e-07	0.000702360643140868	RP11-439A17.9
ENSG00000037280	90.2136475301258	-1.58726421324644	0.332074331659646	-4.77984614261992	1.75429394142374e-06	0.00124951894259408	FLT4
ENSG00000233030	74.7395821459096	1.46931930225831	0.311145332689592	4.72229260055828	2.33200850990364e-06	0.00154882148542176	RP11-196G18.3
ENSG00000187554	1159.89785080277	1.40020564771042	0.29689543158016	4.71615760558571	2.40340288139046e-06	0.00154882148542176	TLR5
ENSG00000165650	655.296446735808	1.27825792797543	0.274508687782677	4.65652995648502	3.21583506418445e-06	0.00197817708743674	PDZD8
ENSG00000085265	13079.7749448117	0.956084447244868	0.207048956651558	4.61767334019394	3.88066489413723e-06	0.00228334947879823	FCN1
ENSG00000243273	69.527597087009	1.63909747099158	0.357664575215925	4.58277834756782	4.58838331672812e-06	0.00253159226789813	RP11-166N6.2
