"cd1" "cd2" "cd3" "wt1" "wt2" "wt3" "name"
"ENSG00000177757" "2.65485211464529" "2.21590664625257" "2.34324232186693" "2.20301934574311" "2.23260004603369" "2.45271801879391" "IL18RAP"
"ENSG00000162571" "1.41557659416233" "1.40707075270065" "1.57933971460261" "1.44749672661759" "1.43050450845849" "1.29847181157823" "IL10"
"ENSG00000268903" "6.66222726098344" "6.93576456899812" "6.34681663068922" "6.43911733877054" "6.42133482766849" "6.7698237399064" "UBE2D1"
"ENSG00000272106" "5.33261690735385" "5.1729069276587" "5.34502568934954" "5.20961689061918" "5.32431267989241" "5.14458595680182" "ITLN1"
"ENSG00000237094" "5.41918069108143" "5.83135820086633" "4.82225039975504" "5.45569340006305" "5.29935634655883" "5.23930778742287" "JAK2"
"ENSG00000215914" "-0.20090535601036" "-0.202295049402237" "-0.207773942846411" "-0.209236830630673" "0.0449252354498068" "-0.131823078664721" "SLC22A4"
"ENSG00000188290" "2.65236199301898" "2.74020588178802" "2.95906347842231" "2.95856828507948" "2.9913155798223" "2.82006038146254" "TNFSF11"
"ENSG00000230092" "2.37818901522414" "2.36874025961923" "2.68815064898631" "2.69300904379515" "2.64456843232499" "2.79139629645401" "IL1RL1"
"ENSG00000197530" "9.31105136022948" "9.2818086468174" "9.38080508516114" "9.47527983051395" "9.89947755444669" "9.48554632903203" "TNFSF15"
"ENSG00000237973" "11.2437595685854" "11.3059898027764" "8.73812474257864" "11.2745186439162" "8.49596904336047" "8.69564888889203" "RASIP1"
"ENSG00000269831" "0.472096696473373" "0.229969423541291" "0.157641755653999" "0.155609986681093" "0.216829798330984" "0.168687160344276" "IL18R1"
"ENSG00000142609" "-0.909567696533372" "-0.975868900758279" "-0.927354957238383" "-0.979874020739379" "-0.978111849365441" "-0.906600677672371" "GPX1"
"ENSG00000187961" "7.12763508178016" "6.83348790322545" "7.28900790108025" "7.22585535566136" "7.51809359254196" "6.93990627908232" "TNFSF4"
"ENSG00000237683" "12.8343751998186" "12.9973761637879" "12.4294974230108" "12.2794195110393" "12.2847005323832" "12.7025169706667" "SBNO2"
"ENSG00000176022" "7.16412829251308" "7.13410500861014" "7.51793918491628" "7.17076912426196" "7.35449890276446" "7.17522156733967" "IL19"
"ENSG00000269227" "4.56517014141401" "4.08785451729336" "4.12239776919751" "4.26301801064317" "4.10221661879993" "5.39280436550971" "LRRK2"
"ENSG00000237491" "4.85640607897892" "4.57972123543933" "4.72645010541579" "4.74112239272469" "4.37094244242994" "4.56511013316372" "CPEB4"
"ENSG00000225880" "4.34942765989391" "4.07923050049889" "4.03424972715919" "4.31978184477377" "4.12776000592923" "4.17104751727471" "PLCL1"
"ENSG00000225972" "0.887974514121268" "0.762951707735249" "0.742215200858992" "0.688068268983225" "0.800175151263409" "0.896278088432972" "MTMR3"
"ENSG00000241860" "9.64041446272193" "9.52692760974736" "9.0674069462257" "9.01998274503094" "8.54045189588004" "9.18707443245836" "GCKR"
"ENSG00000188157" "6.10198491040389" "6.26129534771038" "6.1356931607917" "6.02917488151021" "6.05399413259711" "5.93469337457206" "IRF1"
"ENSG00000227232" "7.52109535353453" "7.64166113513195" "7.53721031640274" "7.36926035693264" "7.25118217658267" "7.39151587766022" "VAMP3"
"ENSG00000248333" "8.94878311967859" "9.05798546080274" "8.75846505243163" "8.80877552470392" "8.9486814147198" "8.81657555994401" "ZFP36L1"
"ENSG00000269737" "5.77612551387432" "5.60000164845876" "6.19054586596526" "5.94262975903171" "5.80233727052658" "7.44639824684816" "CARD9"
"ENSG00000241599" "4.07085426942658" "3.97554200086674" "3.896443818266" "3.9075175575263" "3.76191513072354" "4.00322486171264" "ICAM1"
"ENSG00000235098" "0.087893133039743" "-0.097488278643554" "-0.0521516001177539" "-0.0565519729971833" "-0.0473519498116011" "-0.0948520548225194" "STAT3"
"ENSG00000238009" "4.61122583597812" "3.71008653341878" "3.4837904135009" "3.80734643580927" "3.43687289447219" "3.45007750473658" "GALC"
"ENSG00000078369" "12.6684402307236" "12.7528960005927" "12.4912995297325" "12.4043362281981" "12.4379787184792" "12.6789730802145" "DENND1B"
"ENSG00000187634" "-0.74255989269965" "-0.743423795836817" "-0.650726539847333" "-0.701345726231391" "-0.745824499084839" "-0.67690087737404" "KIF21B"
"ENSG00000239906" "5.60550588543698" "5.55494974916647" "5.15517069209271" "5.44727439832423" "5.11948867713977" "5.61541619226259" "ICAM3"
"ENSG00000160075" "10.2702730316629" "10.3321132823242" "10.1360451976981" "10.0847623524462" "10.4095883424064" "10.3163887098172" "PTPN2"
"ENSG00000228594" "5.12042844093751" "5.30544258902555" "5.26007585229695" "5.14967226141767" "5.27756975710424" "5.06363837174306" "LACC1"
"ENSG00000175756" "9.38592566987902" "9.61759894995236" "9.11332185720159" "9.1621628266889" "9.42096723892838" "9.30389493090259" "CSF2"
